Appraiser,Sample,Rating,Standard
Simpson,1,2,2
Montgomery,1,2,2
Holmes,1,2,2
Duncan,1,1,2
Hayes,1,2,2
Simpson,2,-1,-1
Montgomery,2,-1,-1
Holmes,2,-1,-1
Duncan,2,-2,-1
Hayes,2,-1,-1
Simpson,3,1,0
Montgomery,3,0,0
Holmes,3,0,0
Duncan,3,0,0
Hayes,3,0,0
Simpson,4,-2,-2
Montgomery,4,-2,-2
Holmes,4,-2,-2
Duncan,4,-2,-2
Hayes,4,-2,-2
Simpson,5,0,0
Montgomery,5,0,0
Holmes,5,0,0
Duncan,5,-1,0
Hayes,5,0,0
Simpson,6,1,1
Montgomery,6,1,1
Holmes,6,1,1
Duncan,6,1,1
Hayes,6,1,1
Simpson,7,2,2
Montgomery,7,2,2
Holmes,7,2,2
Duncan,7,1,2
Hayes,7,2,2
Simpson,8,0,0
Montgomery,8,0,0
Holmes,8,0,0
Duncan,8,0,0
Hayes,8,0,0
Simpson,9,-1,-1
Montgomery,9,-1,-1
Holmes,9,-1,-1
Duncan,9,-2,-1
Hayes,9,-1,-1
Simpson,10,1,1
Montgomery,10,1,1
Holmes,10,1,1
Duncan,10,0,1
Hayes,10,2,1
