message_text,spam
Act fast! Your chance to win a free cruise expires soon.,1
Are you free this weekend? Let's go hiking!,0
Can you send me that recipe again?,0
Can you send me the report by end of day?,0
Claim your exclusive reward! Click here before it's gone.,1
Click here to claim your free lottery ticket now!,1
Confirm your account now to avoid suspension.,1
"Congratulations! You've been selected for a $1,000 gift card.",1
Dad's flight lands at 6 PM. Can you pick him up?,0
Don't forget about our meeting at 3 PM today.,0
Don't forget to bring snacks for the road trip.,0
Double your Bitcoin instantly! Click to learn more.,1
Earn money fast! No experience needed. Sign up today.,1
Exclusive deal for you! Save 50% on your next purchase.,1
"Exclusive offer: Get an instant cash advance, no questions asked!",1
Final notice: Your car warranty is expiring soon.,1
Great seeing you at the conference! Let's catch up soon.,0
Happy Birthday! Hope you have a fantastic day!,0
"Hey, are we still on for lunch tomorrow?",0
Hot singles in your area looking to chat now!,1
Hurry! This stock is about to skyrocket. Invest today!,1
I'll call you later tonight to discuss our plans.,0
Just checking in… how have you been?,0
Let's catch up soon! Been too long.,0
"Limited-time offer! Buy one, get one free on all products.",1
Meeting rescheduled to 10 AM tomorrow.,0
Mom's birthday is next week. What should we get her?,0
Reminder: Dentist appointment at 2 PM.,0
Reminder: Your credit card bill is due soon.,0
Secret trick to lose weight fast: doctors hate this!,1
Team lunch this Friday at 12 PM. Let me know if you can make it.,0
Thinking of getting a new phone. Any recommendations?,0
Urgent: Your account has been compromised. Click to verify.,1
Win a free iPhone now! Click the link below to claim your prize.,1
Your Amazon package has been shipped. Track it here.,0
Your computer has a virus! Download our software to fix it.,1
Your order has been delayed. We apologize for the inconvenience.,0
Your PayPal account has been restricted. Verify now.,1
"You've been pre-approved for a $50,000 loan!",1
You've won a free vacation! Call now to claim.,1
